,url,ingredients,label
簡単アクアパッツァ風♪鱈の白ワイン蒸し,https://cookpad.com/recipe/4373222,"['鱈の切り身', 'キャベツ', 'フェンネルorお好みのハーブ', 'ルッコラ']",2
おかずになるミニハンバーガー,https://cookpad.com/recipe/3950367,"['厚めのさつま揚げ', '冷凍ミニハンバーグ', 'とろけるスライスチーズ', 'レタス']",2
揚げずに♪【鱈のカレーチーズパン粉焼き】,https://cookpad.com/recipe/4422540,"['生鱈切り身', '粉チーズ']",2
ちくわと青ねぎの酢味噌和え (ぬた),https://cookpad.com/recipe/4499189,"['ちくわ', '青ねぎ', '合わせ味噌']",2
簡単で豪華アクアパッツァ♪フライパン一つ,https://cookpad.com/recipe/3874616,"['真だら', 'アサリ', 'プチトマト', 'ブラックオリーブ', 'マッシュルーム', 'パセリ', 'クレージーソルト', 'アンチョビチューブ']",2
新玉ねぎとちくわの粒マスタード和え,https://cookpad.com/recipe/785347,"['新たまねぎ', 'ちくわ', '粒マスタード']",0
あさりのむき身で和ピラフ,https://cookpad.com/recipe/4358673,"['白米', 'あさりむき身', '玉葱', '人参', 'バター', 'コンソメ', '緑物']",2
お弁当！卵不使用のカニカマ棒フライ,https://cookpad.com/recipe/4493830,['カニかま'],2
【チーズはんぺん・にんにくバター醤油】♪,https://cookpad.com/recipe/4263711,"['はんぺん', 'はんぺん②', 'ピザ用チーズ', 'ピザ用チーズ②', 'にんにくバター醤油', 'バター']",2
魚介のナポリ風オリーブ煮込み,https://cookpad.com/recipe/4249751,"['やりいか', 'たこ', '玉ねぎ', 'パセリ', 'オリーブ', 'ローリエ', '塩・ホワイトペッパー']",2
はんぺんサンド,https://cookpad.com/recipe/4525061,"['はんぺん', '人参', 'キャベツ', '卵', 'ハム', 'キュ−ピマヨネズ', 'からし']",2
ヘルシー！竹輪でマカロニチーズ風,https://cookpad.com/recipe/4246681,"['ちくわ', 'とろけるスライスチーズ', '牛乳', '味噌']",2
簡単！節約1品＊ちくわのピリ辛ラー油和え,https://cookpad.com/recipe/4246447,"['ちくわ', 'ネギ', 'ラー油']",2
とろとろカリカリ焼きチーズちくわ,https://cookpad.com/recipe/4493746,"['ちくわ', 'チーズ', '粗挽きこしょう']",2
◆パリパリ揚げ餅の海鮮うまみあんかけ♪◆,https://cookpad.com/recipe/4311237,"['お餅', '海老', 'イカ', 'あさりのむき身', '青梗菜', '白菜', '人参', 'しめじ', '砂糖・うまみ調味料']",2
お弁当♪チーズinちくわの磯辺揚げ,https://cookpad.com/recipe/4517370,"['ちくわ', 'ベビーチーズプレーン', '天ぷら粉', '氷水']",2
あなごと三つ葉のゆずこしょう和え,https://cookpad.com/recipe/4013306,"['あなご', 'Ａ液体塩こうじ', 'Ａ酒', '三つ葉', 'Ｂ液体塩こうじ', 'Ｂゆずこしょう', 'Ｂあなごの蒸し汁', 'Ｂ酢', 'Ｂごま油', 'すり白ごま']",2
ニラとはんぺんのもちふわ焼き,https://cookpad.com/recipe/2684321,"['はんぺん', 'ニラ', 'すりおろし生姜チューブ', 'シュレッドチーズ']",0
タイ風ブリの照り焼き（パクチーMAX）,https://cookpad.com/recipe/4465077,"['ブリ切身', 'ナンプラー', 'ハチミツ', 'ココナッツ', 'パクチー', 'スライスレモン', '鷹の爪']",2
アジとトマトのチーズ焼き,https://cookpad.com/recipe/3524283,"['アジ', 'トマト', 'とろけるチーズ']",2
はんぺいの醤油焼き,https://cookpad.com/recipe/3633370,['はんぺい'],2
真鱈のフィレンツェ風♪,https://cookpad.com/recipe/3985576,"['真鱈皮なし', 'イタリアンパセリ', 'バジリコ', 'トマト缶', 'トマトペーストなくても可', '塩・ブラックペパー', 'ブラックオリーブ', 'ケイパー']",2
冷たい前菜‼︎イタリアンはんぺん♪,https://cookpad.com/recipe/3723917,"['はんぺん', 'トマトソース', '黒コショウ']",2
アジのたたきのごま和え,https://cookpad.com/recipe/4526075,"['アジのたたき', '胡瓜', 'ワカメ', '白ゴマ・ワサビ・醤油']",2
節約！海老フライもどき(タルタル作り～),https://cookpad.com/recipe/4330720,"['ちくわ', 'タルタルソース']",2
簡単激ウマ＊ちくわのスイチリマヨ唐揚げ,https://cookpad.com/recipe/4469514,['ちくわ'],2
簡単！イカと夏野菜のオイスターソース炒め,https://cookpad.com/recipe/4041818,"['イカ', 'ズッキーニ', '茄子', 'オクラ', 'パプリカ']",2
いかそうめんの中華風サラダ,https://cookpad.com/recipe/4504250,"['イカそうめん', '人参', 'きゅうり', '食べるラー油', 'サラダ水菜']",2
ヘルシー！ぶり豆腐ハンバーグ,https://cookpad.com/recipe/4455464,"['鰤', '豆腐', '卵', '牛乳']",2
ヨーグルトで鯵のエスカベッシュ(南蛮漬),https://cookpad.com/recipe/3153801,"['鯵', '玉ねぎ', '人参', 'ピーマン', 'レモン', 'プレーンヨーグルト', 'コンソメ', '粒マスタード', 'レモン果汁', 'スパイス・ハーブ']",2
キスのすだちマリネ,https://cookpad.com/recipe/4003203,"['キス', 'スダチ', '玉ねぎ', 'オクラ・プチトマト・紫蘇', 'スダチ絞り汁', '塩・胡椒']",2
簡単♪ふんわり卵とカニカマで豆腐の煮込み,https://cookpad.com/recipe/4370455,"['豆腐', 'カニカマ', '卵', '薬味']",2
はんぺんと水菜のバター醤油ソテー,https://cookpad.com/recipe/4156097,"['はんぺん', '水菜', 'バター']",0
海峡つゆで簡単美味しいアジの南蛮漬け,https://cookpad.com/recipe/4365324,"['鯵', 'A:海峡つゆ', 'A:砂糖', 'A:黒酢', 'A:日本酒', 'A:鷹の爪', '人参', '玉ねぎ', 'ブロッコリースプラウト']",2
ちくわのチーズ&ポテトサラダの揚げ焼き♡,https://cookpad.com/recipe/4110383,"['ちくわ', 'クリームチーズ', 'ポテトサラダ', 'ドライパセリ']",2
大根おろしたっぷり♥️ぶりのみぞれ煮,https://cookpad.com/recipe/4487237,"['ぶり', '大根', '麺つゆ']",2
お弁当！おつまみにも！ちくわのいそべ揚げ,https://cookpad.com/recipe/4460989,"['ちくわ', '小麦粉orてんぷら粉']",2
大葉香る♪さつま揚げチーズはさみ,https://cookpad.com/recipe/4337622,"['さつま揚げ', 'スライスチーズ', '大葉']",2
簡単★旨い【はんぺんのツナマヨチーズ焼】,https://cookpad.com/recipe/4457658,"['はんぺん', 'シーチキン缶', '大葉', 'ピザ用チーズ']",0
ター菜と薩摩揚・カレー風味炒め♪,https://cookpad.com/recipe/4270361,"['ター菜', '薩摩揚げ', '麺つゆ']",2
ちくわの磯辺揚げ,https://cookpad.com/recipe/4427182,"['ちくわ', '天ぷら粉', 'あおさ']",2
簡単！鱈と白舞茸の照り煮,https://cookpad.com/recipe/4412354,"['たら', '白舞茸', '葱']",2
調味料なし！海老とはんぺんのおやき♪,https://cookpad.com/recipe/4359613,"['はんぺん', '海老', 'ねぎ', '桜えび']",2
ブリの湯煮☆ガーリックバターソースがけ♪,https://cookpad.com/recipe/4455459,"['ブリの切り身', 'お酒', '黒こしょう', 'バター', 'お酒']",2
口金で簡単♪納豆入りちくわ天,https://cookpad.com/recipe/4485963,"['ちくわ', 'ひきわり納豆', '大葉', 'ネギ']",2
タラのムニエル~ブロッコリーソース~,https://cookpad.com/recipe/4442210,"['タラ切り身', '塩・ブラックペパー', 'バター', 'じゃがいも', '茹でブロッコリー', '長ネギ', 'コンソメキューブ', '牛乳', 'バター']",2
無駄なし！アジのたたきの捌き方,https://cookpad.com/recipe/4525997,"['鯵', '長ネギ']",2
簡単！ちくわのエビチリ風,https://cookpad.com/recipe/4362273,"['焼きちくわ', '葱', 'エビチリソース']",2
ちくわのおつまみ   関西風,https://cookpad.com/recipe/4360435,"['ちくわ', 'ソース', '紅生姜']",2
ボリュームたっぷり☆カニ玉あんかけ,https://cookpad.com/recipe/4395367,"['卵', 'カニカマ', '長ネギ', 'もやし', 'しいたけ', '\u3000醤油', '\u3000みりん', '\u3000片栗粉', '\u3000生姜', '\u3000だしの素顆粒', '\u3000水']",0
春菊とハンペンの卵とじ,https://cookpad.com/recipe/2465388,"['春菊', 'ハンペン', '卵', '昆布つゆ']",0
煮あなご,https://cookpad.com/recipe/4036898,['アナゴ'],2
ポン酢で簡単♪揚げ鱈の甘酢炒め,https://cookpad.com/recipe/4310475,"['生鱈', 'ピーマン', '玉ねぎ', '人参', '揚げ用油']",2
揚げない竹輪フライ＊マヨポテトはさみ,https://cookpad.com/recipe/4135248,"['ちくわ', 'じゃがいも', '枝豆', '福神漬け', '塩・粗挽き胡椒']",2
ちくわの金平ちょいあん絡め☆,https://cookpad.com/recipe/4147450,"['ちくわ', 'コーンスターチ', '黒ごま']",2
お弁当に★枝豆inちくわのベーコン巻き,https://cookpad.com/recipe/4258327,"['ちくわ', 'ハーフベーコン', '枝豆']",2
ホタルイカの沖漬け,https://cookpad.com/recipe/4503747,['ホタルイカ'],2
鰤の照り焼き～ペパー風味～,https://cookpad.com/recipe/4468749,"['鰤', '本みりん']",2
イカとグレープフルーツのカルパッチョ,https://cookpad.com/recipe/3504381,"['イカ', 'グレープフルーツ', 'セロリ', 'レモン果汁', '粗挽き胡椒']",2
簡単節約 カニカマのかに玉風炒め,https://cookpad.com/recipe/4346433,"['かまぼこ', '長ネギ', '万能ネギ', 'しいたけ', '卵', '中華スープの素']",2
甘辛ちくわ☆七味でピリッと大人味♪,https://cookpad.com/recipe/4443758,"['竹輪', '酒、砂糖、みりん、醤油', '七味']",2
ぶりのユーリンチーたれversion,https://cookpad.com/recipe/4479505,"['ぶり', '生姜すりおろし', 'お酢']",2
旬の白身魚と野菜のイタリアン蒸し,https://cookpad.com/recipe/4219392,"['たら', 'あさり', 'キャベツ', 'ブロッコリー', 'パプリカ', 'プチトマト', 'ローリエ', '白ワイン・オリーブオイル']",2
フライパンで手軽に♪鱈のアクアパッツァ,https://cookpad.com/recipe/4482147,"['真たら切り身', 'あさり', 'ミニトマト', 'しめじ', 'パセリ']",2
簡単！ちくわとキュウリの和え物,https://cookpad.com/recipe/3976319,"['ちくわ', 'キュウリ']",2
爽やか！クミン風味な鰤の春ベジがけ,https://cookpad.com/recipe/4464383,"['鰤の切り身', 'a塩・白コショウ', 'a白ワイン', 'クミンシード', '新玉ねぎスライス', 'トマト', '美味しい塩', 'パセリ']",2
ブリ&厚揚げの☆生姜あんかけ,https://cookpad.com/recipe/4463861,"['ブリ', '下処理用の塩、片栗粉', '厚揚げ', 'ブリを焼くのにごま油', '青ネギなど']",2
簡単！大麦卵サラダのはんぺんサンド,https://cookpad.com/recipe/4218906,"['はんぺん', '卵', '大麦', 'とろけるスライスチーズ', 'からし', 'レモン汁']",2
枝豆入り！豆腐とはんぺんのふわっと焼き！,https://cookpad.com/recipe/4507965,"['絹ごし豆腐', 'はんぺん', '枝豆', 'ネギ', '塩・ブラックペパー']",2
LDL対策！焼きアジフライわさび檸檬醤油,https://cookpad.com/recipe/4520629,"['鯵', '粉豆腐', '水菜', 'ポン酢醤油', '檸檬']",2
淡白な魚はこれ【鱈の味噌マヨホイル焼き】,https://cookpad.com/recipe/4117771,"['鱈切り身', '白菜', 'えのき', '椎茸', '味噌', 'すだち']",2
ヒラメのワイン蒸し レモンバター風味,https://cookpad.com/recipe/4314670,"['ヒラメ', '長ねぎ', 'ピュアオリーブオイル', '白ワイン\u3000', 'バター', 'レモン汁\u3000', 'パセリ\u3000']",2
ブリの竜田揚げ★柚子胡椒風味,https://cookpad.com/recipe/4485366,"['ぶりの切り身', '柚子胡椒']",2
イカと白菜とニラ もやしのコンソメ醤油煮,https://cookpad.com/recipe/4198375,"['冷凍イカ', '白菜', 'ニラ', 'もやし', 'しめじ', 'コンソメ', 'にんにくチューブ', '生姜すりおろしチューブ']",2
あじフライ☆青しそタルタルソース♪,https://cookpad.com/recipe/3915658,"['アジ', '小麦粉・パン粉', 'ゆで卵', '玉ねぎ', '青しそ', '粗びき黒胡椒']",0
簡単☆博多の味！ごまぶりの漬け,https://cookpad.com/recipe/4518380,"['ぶりの刺身', '甘口醤油', '小口ねぎ', '大葉']",2
はんぺん de もちもちエビマヨ風♪,https://cookpad.com/recipe/4459427,"['はんぺん', 'ケチャップ・砂糖・レモン汁']",2
生姜香る、鱈のみぞれかけ！,https://cookpad.com/recipe/4092080,"['甘塩たら', '大根', '黒胡椒', '絹さや', 'にんじん']",2
ぶりの照り焼き　柚子胡椒風味,https://cookpad.com/recipe/4438881,"['ぶりの切り身', 'A\u3000日本酒', 'A\u3000醤油', 'A\u3000砂糖', '柚子胡椒']",2
たらのバジルパン粉焼き,https://cookpad.com/recipe/4145131,"['たら', '乾燥バジル', '粒マスタード']",2
はんぺんとチーズの簡単コロコロフライ♪,https://cookpad.com/recipe/4211036,"['はんぺん', 'とろけるチーズ']",2
広島県宮島風✨あなごめし,https://cookpad.com/recipe/4416007,"['穴子', '塩▪胡椒▪片栗粉', 'すき焼きのたれ', '仕上げのたれ']",2
ちくわチーズ天(磯辺揚げ)裏ワザあり,https://cookpad.com/recipe/1251686,"['竹輪', '切れてるチーズ', '天ぷら粉', '青海苔']",2
だれでも簡単！基本の鯵フライパン焼き,https://cookpad.com/recipe/4477441,['鯵'],2
簡単！麻婆はんぺん,https://cookpad.com/recipe/4423706,"['はんぺん', '豚ひき肉', '葱', '豆板醤']",2
いかの叩き寄せフライのセット,https://cookpad.com/recipe/4386290,"['するめいか', '大葉', 'ごぼう', 'かぼちゃ', '卵', 'しろ菜', 'にんじん', 'エリンギ', '卵', 'れんこん', 'かいわれ大根', 'だいこん', '米']",2
簡単！タラのきざみ生姜タルタルソース添え,https://cookpad.com/recipe/4037851,"['タラ', 'きざみ生姜タルタルソース']",2
無限に応用？ピーマンと魚肉ソーセージ。,https://cookpad.com/recipe/4147799,"['ピーマン', '魚肉ソーセージ', 'ウエイパー']",2
レンジで簡単！シャンタンちくわ,https://cookpad.com/recipe/4426598,"['竹輪', '人参', 'ピーマン', '創味シャンタン']",2
鱈フライ～タルタルソース添え,https://cookpad.com/recipe/4294995,"['鱈', '溶き卵・薄力粉・パン粉', '茹で卵', '玉ねぎ', 'タイムまたはパセリやバジルでも', 'ヨーグルト', '粗挽き粒マスタード']",2
とんぶりともずくとかにかまぼこの小鉢,https://cookpad.com/recipe/3897107,"['とんぶり', 'カップもずく', 'かまぼこ']",2
イカと玉ねぎのバター醤油炒め,https://cookpad.com/recipe/4525914,"['スルメイカ', '新玉ねぎ', 'バター']",2
母直伝！納豆はんぺんフライ☆,https://cookpad.com/recipe/4477108,"['はんぺん', '納豆', '大葉']",2
簡単✽たらのチリソース,https://cookpad.com/recipe/3682954,"['鱈', '玉ねぎ', 'レタス', '豆板醤', '砂糖・片栗粉・中華スープの素', 'おろしニンニク・生姜']",2
簡単！アジのニラ七味煮,https://cookpad.com/recipe/4522265,"['アジ', 'ニラ', '七味唐辛子']",2
鰤と大根の炊き込み麦飯,https://cookpad.com/recipe/4471445,"['押麦', '鰤', '大根のはりはり漬け\u3000レシピID:4361096']",2
簡単♪カレー風味のぶりの照り焼き,https://cookpad.com/recipe/684441,"['ぶりの切り身', '酒・醤油']",2
オーブンでヘルシーな鱈の味噌ホイル焼き,https://cookpad.com/recipe/3895689,"['甘塩鱈or真鱈', 'キャベツ', '人参', 'タマネギ', 'しめじ', '味噌']",2
【簡単】味見が止まらない！シソちくわ*,https://cookpad.com/recipe/4121632,"['ちくわ', 'シソ']",2
みんな大好き～♪竹輪のカレー揚げ♪,https://cookpad.com/recipe/3352455,['竹輪'],2
旬★夏【カツオと新生姜のカルパッチョ風】,https://cookpad.com/recipe/4018509,"['カツオの刺身', '水菜', 'レモン', 'レモン汁', 'イタリアンハーブミックス']",2
簡単ぽかぽか魚ニソ雑煮,https://cookpad.com/recipe/4346495,"['切り餅', '白菜', 'ブロッコリー', '魚肉ソーセージ', '中華スープの素']",2
ブリのステーキ♡レモンバターソース♪,https://cookpad.com/recipe/4462230,"['ぶり切り身', 'バター', 'レモン汁', 'レモンスライス', '貝割れ大根']",2
小ヤリイカのお豆詰めプロバンス風,https://cookpad.com/recipe/2810712,"['小やりいか', '赤レンズ豆', 'プチトマト', 'フェンネルの葉', '塩麹']",2
ぶりチリ♡ぶりとトマトのケチャップ炒め♡,https://cookpad.com/recipe/4460305,"['ぶり', '塩・胡椒', '長ネギ', '中華あじ鶏ガラスープの素など', 'トマト', '豆板醤']",2
鯵とトマトのレモンバジルあえ,https://cookpad.com/recipe/4515401,"['鯵', 'パプリカ', '米粉', 'ベビーリーフ', 'プチトマト', 'レモン', 'バジル', 'パルメザンチーズ']",2
かまぼこのオイバター焼き☆,https://cookpad.com/recipe/4104223,"['かまぼこ', 'バター', '青海苔・炒りごまなど']",2
タラを簡単 洋食に♪タラのケチャソース♡,https://cookpad.com/recipe/4267963,"['タラの切り身', '焼き用のサラダ油や、オリーブオイル', '玉ねぎ', 'エリンギやしめじ等のきのこ', 'コンソメ', 'ソース', 'にんにくチューブ', 'クレイジーソルト', 'バジル', '飾り用パセリ']",2
ふわふわサクサクのエビカツ,https://cookpad.com/recipe/4339132,"['エビ', '玉ねぎ', 'はんぺん', '塩・ブラックペパー', '卵']",2
冷凍ストック☆カニカマと長ねぎのソテー♪,https://cookpad.com/recipe/4351419,"['カニカマ', '長ねぎ']",2
イカと高菜の塩わさび炒め,https://cookpad.com/recipe/4305856,"['イカ', '高菜漬け', 'クコの実', '粉わさび', 'レモン汁', 'うすくち醤油', '粉山椒']",2
だれでも簡単！基本のタラの揚げ焼き,https://cookpad.com/recipe/4436252,['たら'],2
ブリのスタミナステーキ♪,https://cookpad.com/recipe/4433862,"['ぶりの切り身', '長ネギ', 'いりごま']",2
激旨！カニカマの天ぷら♪カレーチーズ味☆,https://cookpad.com/recipe/4395680,"['かにかま', '粉チーズ']",2
いかと茸のハーブ炒め,https://cookpad.com/recipe/4480312,"['やりいか', 'エリンギ', '玉ネギ', 'スナップエンドウ', 'ハーブミックス万能ハーブID2452010', 'ターメリックパウダー']",2
簡単！朝食タラとエリンギのフライパン蒸し,https://cookpad.com/recipe/4198379,"['タラの切り身', 'エリンギ']",2
簡単！オイルフリー☆鰤の生姜焼き,https://cookpad.com/recipe/4463075,"['ぶり', '水菜']",2
はんぺんの和風ボール,https://cookpad.com/recipe/4345009,"['はんぺん', 'ゆかり', 'クローブパウダー']",2
簡単！ちくわマキマキカツ,https://cookpad.com/recipe/4089758,"['竹輪', '豚薄切り肉', '小麦粉卵パン粉']",2
ほうれん草とかまぼこの魚醤バターソテー,https://cookpad.com/recipe/4434397,"['茹でほうれん草', '蒲鉾', 'バター', '魚醤', '塩・ブラックペパー']",2
簡単！かにかまの磯部揚げ,https://cookpad.com/recipe/4339208,['かにかま'],2
◆お手軽一品♪キャベツとイカのナムル♪◆,https://cookpad.com/recipe/4378151,"['キャベツ', '人参', 'イカ', 'にんにくチューブ', '胡麻', 'ラップ']",0
ケチャップで簡単☆タラのイタリアンソース,https://cookpad.com/recipe/4228408,"['タラの切り身', 'コンソメ', '焼き用の油', '玉ねぎ', 'ピーマン', 'エリンギ', 'コンソメ', 'ソース', 'にんにくチューブ', 'あれば、バジル', 'ブラックペッパーまたは、胡椒']",2
簡単！はんぺん肉巻きの生姜醤油焼き,https://cookpad.com/recipe/4166213,"['はんぺん', '豚薄切り肉']",2
ちくわとほうれん草のオイマヨたまご,https://cookpad.com/recipe/4479656,"['ちくわ', '卵', 'ほうれん草']",2
温奴のかにかまあんかけ,https://cookpad.com/recipe/4105713,"['絹ごし豆腐', 'かまぼこ', '和風顆粒だしの素']",2
フライパン一つ★タラ＆野菜の味噌マヨ焼き,https://cookpad.com/recipe/4403959,"['たら\u3000切り身', 'グリーンアスパラガス', 'もやし', 'たまねぎ', 'にんじん', 'ひらたけ', '小ねぎの小口切り', 'みそ']",2
大根ときゅうりとかにかまの酢の物,https://cookpad.com/recipe/3922721,"['大根', 'きゅうり', 'かまぼこ', '炒りごま']",0
お弁当に♪しそとチーズのクルクルちくわ,https://cookpad.com/recipe/1475502,"['ちくわ', 'しそ', 'スライスチーズ']",2
魚肉ソーセージの中華風サラダ,https://cookpad.com/recipe/4062578,"['魚肉ソーセージ', 'ニンジン', 'きゅうり', '白いりごま', '冷やし中華スープのたれ']",2
お弁当！はんぺんピカタ,https://cookpad.com/recipe/4341612,"['はんぺん', 'ハム', 'とろけるスライスチーズ', '卵']",2
ネギ好きへ贈る！かつおのWねぎだくたたき,https://cookpad.com/recipe/4524695,"['かつおのたたき', '九条ねぎ', '長ねぎ', '卵黄', '刻み海苔', 'ぽん酢', 'コショー']",2
簡単おつまみ♡ネギそぼろチーズはんぺん,https://cookpad.com/recipe/4274627,"['はんぺん', '瓶詰め鶏そぼろ', 'ピザチーズ', 'ねぎ']",2
ふっくら濃厚♪ぶりの味噌煮,https://cookpad.com/recipe/4494144,"['ぶりの切り身', '氷水', '和風顆粒だし', '合わせ味噌', '白髪ねぎ']",2
簡単ヘルシー 鱈とキャベツの梅蒸し,https://cookpad.com/recipe/4390974,"['塩鱈or真鱈', 'キャベツ', 'お好きなきのこ', '梅干し', '生姜すりおろし']",2
包むだけ！簡単タラのホイル蒸し,https://cookpad.com/recipe/4374879,"['塩タラ切り身', '玉ねぎ', 'しめじ', 'もやし', '人参', '塩・ブラックペパー', 'お好みで']",2
コク旨～魚肉と大根の和風カルボナーラ風,https://cookpad.com/recipe/1325735,"['魚肉ソーセージ', '大根', '人参', '炒め用のサラダオイル', 'あれば仕上げ用の大根の葉やネギ', 'お好みで七味・一味', 'A:卵', 'A：味噌', 'A：粉チーズ', 'A:砂糖', 'A：牛乳or豆乳', 'A：コショウ']",0
ヘルシー☆はんぺんピザ,https://cookpad.com/recipe/4501417,"['はんぺん', 'ピザソース', '溶けるチーズ']",2
カニとサワークリームの前菜,https://cookpad.com/recipe/4125970,"['カニ缶', 'サワークリーム', '玉ねぎ', 'レモン汁']",2
さわらと野菜のみぞれ煮,https://cookpad.com/recipe/3408342,"['さわらまたはたいなど', '大根', 'にんじん', '生しいたけ', 'さやいんげん', '小ねぎ', 'A水', 'Aしょうゆ', 'A酒']",2
たことトマトのクミンマリネ♪,https://cookpad.com/recipe/4497674,"['ゆでだこ', 'トマト', '玉ねぎ', '大葉', 'クミンシード']",2
簡単10分！カジキのアクアパッツァ,https://cookpad.com/recipe/4336973,"['カジキマグロ', 'あさり', 'ミニトマト', 'ハーブ入り塩', 'お好みでパセリなど']",2
簡単なのに手がこんで見える塩サバ料理,https://cookpad.com/recipe/3479826,"['塩サバ', 'トマト系のパスタソース']",2
おせち✿鮭のゆうあん焼き✿,https://cookpad.com/recipe/4263423,"['鮭', '塩・酒', '酒・みりん', 'ゆず']",2
さばとねぎのみそホイル焼き,https://cookpad.com/recipe/4405736,"['さば切身', '白ねぎ', 'みそ', 'バター']",2
だれでも簡単！基本の鯖フライパン焼き,https://cookpad.com/recipe/4395224,['鯖'],2
キャプスキでサーモンたっぷりのポパイ炒飯,https://cookpad.com/recipe/4254954,"['ご飯', '卵', '粗挽き唐辛子', 'アトランティック･サーモンのアラ', 'ほうれん草', '玉ねぎ', 'ホットオイル', '醤油麹']",2
サワラの塩レモングリル焼き,https://cookpad.com/recipe/3872647,"['サワラの切り身', 'サッポロ塩レモン']",2
フライパン一つ！こっくり鯖の味噌煮！,https://cookpad.com/recipe/4464918,"['鯖', '味噌', '新生姜']",2
★簡単絶品本格的♪鰯のさつま揚げ,https://cookpad.com/recipe/4419953,"['鰯', '卵', '味噌', '長葱']",2
タコときゅうりのコチュジャン和え,https://cookpad.com/recipe/4481443,"['ゆでだこ', 'きゅうり', 'じゃがいも', '米酢', '白いりごま', 'コチュジャン', 'きび糖']",2
デパ地下風☆イワシのバター醤油ソース,https://cookpad.com/recipe/4161496,"['イワシの開き', 'パセリ', 'じゃがいも', 'バター', '牛乳', '玉ねぎ', 'バター']",2
カレー風味のサーモンのムニエル,https://cookpad.com/recipe/4246000,"['鮭の切り身', 'クレイジーソルト', 'バター', 'ドライパセリ']",2
セージ＆タイム☆いわしの香草パン粉焼き,https://cookpad.com/recipe/4428853,"['いわし', 'セージ', 'タイム', '卵', 'バター']",2
めかじきとキャベツのクリーム煮,https://cookpad.com/recipe/1132787,"['キャベツ', 'めかじき', '生クリーム', 'チキンコンソメ']",2
